Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0157584,INS-000710522,03/08/2024,2024,BA-1453747-2022,NSR FOOD DISTRIBUTORS INC,SCOTTY’S MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,6,Confiscated,Complete Address,240,PAGE AVE,,,,STATEN ISLAND,NY,10307,Staten Island,503,51,5141719,5080080134,SI11,40.5180131,-74.23445767
A0159416,INS-000726616,03/20/2024,2024,BA-1635802-2023,597 FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,6,Confiscated,Complete Address,597,E 16TH ST,,,,BROOKLYN,NY,11226,Brooklyn,314,45,3121219,3052370052,BK42,40.63555928,-73.96239941
A0162293,INS-000731768,04/05/2024,2024,BA-1102863-2022,2358 Meat Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,6,Confiscated,Complete Address,2358,UNIVERSITY AVE,,,,BRONX,NY,10468,Bronx,207,14,2014612,2032120058,BX30,40.86168043,-73.90588858
A0162386,INS-000731913,04/05/2024,2024,BA-1690494-2024,DELI COMBO INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,42,REID AVE,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5050128,5033910027,SI14,40.59379445,-74.08045441
A0154385,INS-000716863,02/14/2024,2024,BA-1265605-2022,RANIA FOOD CORP.,C-TOWN SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,7,6,4,Confiscated,Complete Address,7924,FLATLANDS AVE,,,,BROOKLYN,NY,11236,Brooklyn,318,46,3224863,3080160038,BK50,40.63516531,-73.91379225
A0154772,INS-000717591,02/16/2024,2024,BA-1282904-2022,KAMLIN III LLC,,Grocery-Retail - 808,Scale,Scale,,No Fee Scale,1,0,4,Confiscated,Complete Address,6930,4TH AVE,,,,BROOKLYN,NY,11209,Brooklyn,310,47,3145708,3058720054,BK31,40.6342949,-74.02366386
A0155485,INS-000731779,02/23/2024,2024,BA-1314764-2022,GOLDEN BOYS GROUP INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,4,Confiscated,Complete Address,416,CRESCENT ST,,,,BROOKLYN,NY,11208,Brooklyn,305,37,3093424,3041660018,BK83,40.67854477,-73.87079711
A0163731,INS-000733118,04/16/2024,2024,BA-1521923-2022,VALYRIAN GROUP INC,,Retail Laundry,Scale,Scale,Laundry Scales,Computing Scale - 02,1,0,4,Confiscated,Complete Address,1968,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2008259,2028540003,BX41,40.85196123,-73.90905435
A0164393,INS-000735488,04/18/2024,2024,BA-1108214-2022,242 BAY RIDGE MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,23,22,4,Confiscated,Complete Address,242,BAY RIDGE AVE,,,,BROOKLYN,NY,11220,Brooklyn,310,47,3145616,3058710032,BK31,40.63609744,-74.02722786
A0166788,INS-000739509,05/01/2024,2024,BA-1126555-2022,138-37 FOOD CORP,KEY FOOD SUPERMARKETS,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,4,Confiscated,Complete Address,13837,QUEENS BLVD,,,,JAMAICA,NY,11435,Queens,408,24,4206512,4096490025,QN35,40.70811409,-73.81793844
A0166954,INS-000739789,05/02/2024,2024,BA-1690979-2024,JOE BAKERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,8517,18TH AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,38,3165753,3063440001,BK28,40.6076646,-74.00212486
A0177190,INS-000760345,07/09/2024,2024,BA-1534786-2022,SAYYAF FOOD CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,890,ROCKAWAY AVE,,,,BROOKLYN,NY,11212,Brooklyn,316,42,3082837,3036250033,BK81,40.65768977,-73.90768291
A0180040,INS-000766726,07/26/2024,2024,BA-1329374-2022,KKISB CORP,LAST STOP DELI,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,10006,4TH AVE,,,,BROOKLYN,NY,11209,Brooklyn,310,47,3156122,3061370045,BK31,40.6126991,-74.03377708
A0180370,INS-000767487,07/19/2024,2024,BA-1619488-2023,GREEN WAVE LAUNDROMAT CORP,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,4,Confiscated,Complete Address,,22213 braddock avenue,,BLDG,,queens village,NY,11428,Queens,413,23,4166385,4079490004,QN43,40.72884676,-73.73762489
A0185365,INS-000777844,08/28/2024,2024,BA-1084519-2022,BEST FOOD CORP OF NY,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,9,4,Confiscated,Complete Address,331,PORT RICHMOND AVE,,,,STATEN ISLAND,NY,10302,Staten Island,501,49,5095249,5010380004,SI28,40.63369506,-74.13628577
A0169479,INS-000744837,05/16/2024,2024,BA-1631446-2023,HONG KONG LAUNDROMAT 8 INC,,Retail Laundry,Scale,Scale,Laundry Scales,No Fee Scale,1,0,4,Confiscated,Complete Address,13505,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,409,29,4201270,4095030050,QN54,40.69167661,-73.81171247
A0171842,INS-000749613,05/31/2024,2024,BA-1429125-2022,MERRICK MEAT MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,8,7,4,Confiscated,Complete Address,10830,MERRICK BLVD,,,,JAMAICA,NY,11433,Queens,412,27,4216668,4101780125,QN01,40.6977117,-73.7861878
A0169040,INS-000743890,05/14/2024,2024,BA-1460189-2022,"MANNIX FAMILY MARKET @ FOREST AND RICHMOND AVE, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,54,52,4,Confiscated,Complete Address,985,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,501,49,5150291,5014790001,SI12,40.62290814,-74.14944093
A0177017,INS-000759988,07/09/2024,2024,BA-1451784-2022,R.J. CASTLE HILL FOOD CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,4,Confiscated,Complete Address,1345,CASTLE HILL AVE,,,,BRONX,NY,10462,Bronx,209,18,2029044,2039350064,BX46,40.83525271,-73.85198658
A0178415,INS-000762832,07/17/2024,2024,BA-1209860-2022,CONCORD MARKET CORP.,CONCORD MARKET,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,4,Confiscated,Complete Address,91,TILLARY ST,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3325911,3000860011,BK38,40.69615296,-73.98741421
A0183847,INS-000763300,08/20/2024,2024,BA-1515506-2022,"THE STOP & SHOP SUPERMARKET COMPANY, LLC",STOP & SHOP #2595,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,4,Confiscated,Complete Address,1441,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,502,50,5151774,5015440120,SI05,40.61329749,-74.15847427
A0184091,INS-000769692,08/21/2024,2024,BA-1322704-2022,KINGDOM CASTLE FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,4,Confiscated,Complete Address,300,SAND LN,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5050354,5034050030,SI36,40.59225439,-74.06805197
A0187256,INS-000781391,09/10/2024,2024,BA-1121078-2022,AF RIVERDALE MEAT MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,4,Confiscated,Complete Address,5587,BROADWAY,,,,BRONX,NY,10463,Bronx,208,11,2083160,2057040045,BX29,40.87913842,-73.90464884
A0188361,INS-000785368,09/17/2024,2024,BA-1679440-2023,HONOR GROCERY & DELI CORP.,,Grocery-Retail - 808,Scale,Scale,,No Fee Scale,1,0,4,Confiscated,Complete Address,1217,SHERMAN AVE,,,,BRONX,NY,10456,Bronx,204,16,2002688,2024530024,BX14,40.83402142,-73.91576064
A0190608,INS-000778173,09/26/2024,2024,BA-1707531-2024,"LUS LICENSING, LLC",Lidl-1576,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,25901,UNION TPKE,,,,GLEN OAKS,NY,11004,Queens,413,23,4439455,4085130002,QN44,40.74656822,-73.71283712
A0192597,INS-000791226,10/08/2024,2024,BA-1708904-2024,KABA FOOD MARKET INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,14819,HILLSIDE AVE,,,,JAMAICA,NY,11435,Queens,408,24,4207421,4097040057,QN61,40.70617969,-73.80820177
A0190399,INS-000787054,09/26/2024,2024,BA-1690979-2024,JOE BAKERY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,4,Confiscated,Complete Address,8517,18TH AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,38,3165753,3063440001,BK28,40.6076646,-74.00212486
A0197250,INS-000795080,11/01/2024,2024,BA-1710119-2024,HKRV CORP.,,Secondhand Dealer [General] - 006,Scale,Scale,Scale Inspection,Jewelry Scale,2,1,4,Confiscated,Complete Address,9050,PARSONS BLVD,,STE,302,JAMAICA,NY,11432,Queens,412,27,4565228,4097540034,QN61,40.70374838,-73.80046165
A0199527,INS-000805085,11/19/2024,2024,BA-1664090-2023,1490 MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,7,4,Confiscated,Complete Address,1490,CLOVE RD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5016628,5006610001,SI07,40.61212335,-74.09912253
A0202586,INS-000810846,12/06/2024,2024,BA-1119903-2022,13TH AVENUE MEAT LLC,SUPER FRESH SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,0,4,Confiscated,Complete Address,7002,13TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310,38,3157031,3061660041,BK30,40.62305733,-74.00458212
A0202586,INS-000810846,12/06/2024,2024,BA-1119903-2022,13TH AVENUE MEAT LLC,SUPER FRESH SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,2,1,4,Confiscated,Complete Address,7002,13TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310,38,3157031,3061660041,BK30,40.62305733,-74.00458212
A0202625,INS-000810921,12/06/2024,2024,BA-1716203-2024,YDHNY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,4,Confiscated,Complete Address,1525,ALBANY AVE,,,,BROOKLYN,NY,11210,Brooklyn,317,45,3114503,3050160013,BK91,40.63600402,-73.93740159
A0192632,INS-000791278,10/08/2024,2024,BA-1204280-2022,DNJ FOOD CORP.,PRICE CHOICE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,10,8,3,Confiscated,Complete Address,807,E TREMONT AVE,,,,BRONX,NY,10460,Bronx,206,15,2090481,2031070051,BX17,40.843711,-73.88765845
A0194056,INS-000784321,10/15/2024,2024,BA-1709418-2024,"BOGOPA CROPSEY, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,11,10,3,Confiscated,Complete Address,2965,CROPSEY AVE,,,,BROOKLYN,NY,11214,Brooklyn,313,47,3188541,3069970300,BK21,40.58270809,-73.98624035
A0194389,INS-000794929,10/17/2024,2024,BA-1451804-2022,M & A FRUITS & DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,1976,ARTHUR AVENUE,,STE,76,BRONX,NY,10457,Bronx,206,15,2011976,2030680055,BX17,40.84680125,-73.89312546
A0197617,INS-000801526,11/06/2024,2024,BA-1202042-2022,CARNICERA LA PALMA & MINI MARKET CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,2,3,Confiscated,Complete Address,8030,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183704,4089190010,QN53,40.69225213,-73.86132995
A0197624,INS-000801543,11/06/2024,2024,BA-1713161-2024,JFK INTERNATIONAL AIR TERMINAL LLC,,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,248,246,3,Confiscated,Place (Landmark),1,JFK INTERNATIONAL AIRPORT,,,,JAMAICA,NY,11430,Queens,483,31,4000000,4142600001,QN98,40.64832045,-73.78828125
A0199541,INS-000804221,11/19/2024,2024,BA-1189061-2022,"COOL CYCLE LAUNDRY, INC.",,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,3,Confiscated,Complete Address,352,FOREST AVE,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5006847,5002510004,SI35,40.63113763,-74.10100978
A0201965,INS-000809825,12/04/2024,2024,BA-1191300-2022,CLEAN CITY LAUNDRY INC,ATLANTIS SUPERWASH,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,3,Confiscated,Complete Address,873,BEDFORD AVE,,,,BROOKLYN,NY,11205,Brooklyn,303,33,3048553,3017500011,BK75,40.6939357,-73.95600168
A0202320,INS-000807553,12/05/2024,2024,BA-1306366-2022,LAUNDRY EXPRESS CENTER III INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,3,Confiscated,Complete Address,4118,FARRAGUT RD,,,,BROOKLYN,NY,11210,Brooklyn,317,45,3398119,3050160135,BK91,40.63692893,-73.93724219
A0130058,INS-000657033,08/03/2023,2023,BA-1572278-2023,Jamaica Finest Meat Corp,Green Valley Supermarket,Grocery-Retail - 808,Scale,Scale,,Computing Scale - 01,5,4,3,Confiscated,Complete Address,8508,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183846,4089220003,QN53,40.69252092,-73.85890612
A0132884,INS-000662505,08/24/2023,2023,BA-1600499-2023,2285 GROCERY AND FOOD CORP.,ANTILLANA SUPERFOOD MARKETPLACE,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,11,3,Confiscated,Complete Address,2285,GRAND CONCOURSE,,,,BRONX,NY,10453,Bronx,205,14,2013769,2031630026,BX40,40.85707825,-73.9001726
A0130396,INS-000657729,08/07/2023,2023,BA-1429125-2022,MERRICK MEAT MARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,3,Confiscated,Complete Address,10830,MERRICK BLVD,,,,JAMAICA,NY,11433,Queens,412,27,4216668,4101780125,QN01,40.6977117,-73.7861878
A0130498,INS-000657883,08/07/2023,2023,BA-1200670-2022,CRYSTAL & CHRIS FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,5,3,Confiscated,Complete Address,10854,GUY R BREWER BLVD,,,,JAMAICA,NY,11433,Queens,412,28,4216194,4101500061,QN01,40.69571344,-73.79063348
A0137568,INS-000679595,09/29/2023,2023,BA-1427902-2022,POLMOST FOOD CORP.,Associated Foods,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,13,3,Confiscated,Complete Address,802,MANHATTAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3065333,3025970011,BK76,40.72780217,-73.95307131
A0144009,INS-000690666,11/22/2023,2023,BA-1105393-2022,ALDI INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,6,3,Confiscated,Complete Address,5532,BROADWAY,,,,BRONX,NY,10463,Bronx,208,11,2124371,2032660013,BX29,40.87779429,-73.9055801
A0144985,INS-000694233,11/30/2023,2023,BA-1460189-2022,"MANNIX FAMILY MARKET @ FOREST AND RICHMOND AVE, LLC",,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,53,52,3,Confiscated,Complete Address,985,RICHMOND AVE,,,,STATEN ISLAND,NY,10314,Staten Island,501,49,5150291,5014790001,SI12,40.62290814,-74.14944093
A0148800,INS-000699896,01/02/2024,2024,BA-1682124-2024,7918 MEAT & PRODUCE CORP,C-TOWN SUPERMARKET,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,7918,3RD AVE,,,,BROOKLYN,NY,11209,Brooklyn,310,47,3150828,3059780046,BK31,40.62836492,-74.02906923
A0148906,INS-000700172,01/03/2024,2024,BA-1582436-2023,IBERIE DELI GROCERY CORP,PAMELA GREEN DELI,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,785,E 163RD ST,,,,BRONX,NY,10456,Bronx,203,17,2004858,2026690069,BX35,40.82266189,-73.90287986
A0153917,INS-000715650,02/02/2024,2024,BA-1208677-2022,EXPRESS DELI GROCERY INC I,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,331,11TH ST,,,,BROOKLYN,NY,11215,Brooklyn,306,39,3337650,3010170001,BK37,40.66778842,-73.98689688
A0154188,INS-000716332,02/12/2024,2024,BA-1125576-2022,BAYFRUIT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,1717,AVENUE Z,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3204044,3074380024,BK17,40.58820779,-73.95220089
A0154707,INS-000717495,02/16/2024,2024,BA-1095829-2022,229 KNICKERBOCKER MEAT CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,13,12,3,Confiscated,Complete Address,229,KNICKERBOCKER AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,34,3072538,3031870001,BK77,40.70301631,-73.92573618
A0155588,INS-000719383,02/23/2024,2024,BA-1682507-2024,AFRICAN UNITY MEAT V CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,5,4,3,Confiscated,Complete Address,1770,JEROME AVE,,,,BRONX,NY,10453,Bronx,205,14,2008209,2028500009,BX41,40.84828829,-73.91191844
A0158731,INS-000725329,03/15/2024,2024,BA-1107968-2022,BEST EMMONS BAGEL INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,2253,EMMONS AVE,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3342943,3087830064,BK17,40.58369198,-73.94471937
A0159934,INS-000726088,03/25/2024,2024,BA-1115233-2022,"BARTOW AVENUE LAUNDROMAT,LLC",,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,3,Confiscated,Complete Address,2829,EDSON AVENUE,,,,BRONX,NY,10469,Bronx,212,12,2062769,2048000018,BX13,40.86937742,-73.83368416
A0162109,INS-000731456,04/04/2024,2024,BA-1689185-2024,FRESH FARM SUPERMARKET CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,12,11,3,Confiscated,Complete Address,4016,NATIONAL ST,,,,CORONA,NY,11368,Queens,404,21,4048538,4019740012,QN26,40.74925728,-73.86294006
A0164490,INS-000731602,04/18/2024,2024,BA-1559348-2022,"WESTERN BEEF RETAIL, INC.",,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,0,3,Confiscated,Complete Address,1564,SOUTHERN BLVD,,,,BRONX,NY,10460,Bronx,203,17,2010592,2029820020,BX75,40.83466881,-73.8893505
A0164632,INS-000735859,04/19/2024,2024,BA-1692372-2024,"LINES BUILDER COMPANY, LLC",CLEAN RITE,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,3,Confiscated,Complete Address,1287,CASTLETON AVE,,,,STATEN ISLAND,NY,10310,Staten Island,501,49,5005461,5002040001,SI22,40.63389945,-74.12551717
A0167082,INS-000740015,05/02/2024,2024,BA-1617911-2023,RED &  WHITE MARKETS INC,MORTON WILLIAMS,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,13,3,Confiscated,Complete Address,15,E KINGSBRIDGE RD,,,,BRONX,NY,10468,Bronx,207,14,2017485,2033170006,BX28,40.86731592,-73.89697918
A0137144,INS-000678858,09/27/2023,2023,BA-1201519-2022,Emporium Supermarket Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,8,3,Confiscated,Complete Address,148,E 170TH ST,,,,BRONX,NY,10452,Bronx,204,16,2008086,2028420055,BX63,40.83905441,-73.91466284
A0138886,INS-000681923,10/11/2023,2023,BA-1227987-2022,DELI FOR ME CORP,,Grocery-Retail - 808,Scale,Scale,,No Fee Scale,1,0,3,Confiscated,Complete Address,18744,HILLSIDE AVE,,,,JAMAICA,NY,11432,Queens,412,23,4212903,4099360031,QN61,40.71495888,-73.77418158
A0142360,INS-000687841,11/09/2023,2023,BA-1122304-2022,4138 BROADWAY FOOD LLC,FOOD EMPORIUM,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,0,3,Confiscated,Complete Address,4138,BROADWAY,,,,NEW YORK,NY,10033,Manhattan,112,10,1063530,1021430033,MN36,40.84607955,-73.93847254
A0142377,INS-000687867,11/09/2023,2023,BA-1666365-2023,Urban Deli & Convenience Corp.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,0,3,Confiscated,Complete Address,17902,UNION TPKE,,,,FRESH MEADOWS,NY,11366,Queens,408,24,4155489,4072290007,QN06,40.72665212,-73.78892715
A0146217,INS-000695261,12/08/2023,2023,BA-1002976-2022,BRAUN TUNA,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,No Fee Scale,1,0,3,Confiscated,Complete Address,7214,MAIN ST,,,,FLUSHING,NY,11367,Queens,408,24,4143394,4066210002,QN37,40.72626277,-73.82162662
A0149465,INS-000701292,01/09/2024,2024,BA-1520854-2022,SOUTH ROAD GUY_R INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,1,3,Confiscated,Complete Address,16224,TUSKEGEE AIRMEN WAY,,,,JAMAICA,NY,11433,Queens,412,28,4215802,4101290011,QN01,40.69949668,-73.79419918
A0151842,INS-000708701,01/26/2024,2024,BA-1631875-2023,ASIAN FOOD 888 INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,0,3,Confiscated,Complete Address,41-31,MAIN STREET,,UNIT,A1,FLUSHING,NY,11355,Outside NYC,407,20,4114281,4050430009,QN22,40.75731721,-73.82904052
A0152120,INS-000709732,01/29/2024,2024,BA-1442716-2022,MYRTLE & GROVE GAS INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,1525,MYRTLE AVE,,,,BROOKLYN,NY,11237,Brooklyn,304,37,3076175,3033280008,BK77,40.69923979,-73.91428642
A0152125,INS-000709739,01/29/2024,2024,BA-1115800-2022,60-90 ELIOT AVE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,3,Confiscated,Complete Address,6090,ELIOT AVE,,,,MASPETH,NY,11378,Queens,405,30,4061363,4027470018,QN21,40.71402458,-73.90236721
A0163602,INS-000734046,04/15/2024,2024,BA-1229690-2022,"DANTONI'S SERVICE CENTER, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,5931,AMBOY RD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5084728,5069010268,SI32,40.52563446,-74.20486624
A0163630,INS-000734112,04/15/2024,2024,BA-1346509-2022,KINGS HWY GAS & CONVENIENCE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,5824,CHURCH AVE,,,,BROOKLYN,NY,11203,Brooklyn,317,42,3327609,3047060036,BK96,40.65246634,-73.92240119
A0163637,INS-000734135,04/15/2024,2024,BA-1434380-2022,"NEWBRIDGE SERVICE PLUS, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Confiscated,Complete Address,5270,AMBOY RD,,,,STATEN ISLAND,NY,10312,Staten Island,503,51,5082286,5065230080,SI01,40.5342416,-74.18587616
A0163667,INS-000734203,04/15/2024,2024,BA-1107429-2022,2103 FUEL CORP.,EAGLE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,2103,WEBSTER AVE,,,,BRONX,NY,10457,Bronx,205,15,2013308,2031430119,BX41,40.85254755,-73.89796357
A0163239,INS-000733433,04/11/2024,2024,BA-1665625-2023,AAA ROSEDALE GAS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,24602,S CONDUIT AVE,,,,ROSEDALE,NY,11422,Queens,413,31,4289465,4136220005,QN05,40.66536167,-73.73238481
A0163260,INS-000733464,04/11/2024,2024,BA-1469791-2022,MAIN STREET AUTO SERVICE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,6720,MAIN ST,,,,FLUSHING,NY,11367,Queens,408,24,4141569,4064860038,QN37,40.73357499,-73.82532357
A0163033,INS-000733041,04/10/2024,2024,BA-1428244-2022,NOR BRONX RIVER INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,3,Confiscated,Complete Address,1810,CROSS BRONX EXPY,,,,BRONX,NY,10472,Bronx,209,18,2028007,2038810011,BX08,40.83468561,-73.86633807
A0163157,INS-000733285,04/11/2024,2024,BA-1648526-2023,BP ROSEDALE SERVICE STATION INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,245-16,139 AVENUE,,,,ROSEDALE,NY,11422,Queens,413,31,4289370,4136140023,QN05,40.66533007,-73.73296167
A0162971,INS-000732947,04/10/2024,2024,BA-1092071-2022,1885 ONE STOP ENTERPRISES INC,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,1885,WESTCHESTER AVE,,,,BRONX,NY,10472,Bronx,209,18,2027998,2038800001,BX08,40.83289747,-73.86286533
A0162943,INS-000732906,04/10/2024,2024,BA-1370598-2022,GREENPOINT EXPRESSWAY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,3515,GREENPOINT AVE,,,,LONG ISLAND CITY,NY,11101,Queens,402,26,4003368,4002350026,QN31,40.73725474,-73.93060554
A0162952,INS-000732919,04/10/2024,2024,BA-1516605-2022,SOUTH HYLAN LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,3,Confiscated,Complete Address,4000,HYLAN BLVD,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5068149,5052980020,SI54,40.54206681,-74.1461983
